actualy,yhat,id,text
1,0.6593469977378845,0,"Pay day loan lender is prohibited in my state when I advised I could no longer pay high interest fees and advised that web pay day loans are prohibited in the state of PA they kept calling and harassing me about paying the loan. Now they have reported on my credit in collection. My credit score has been significantly effected by this, and I may not be able to qualify for Home loans to purchase a house."
1,0.513394296169281,1,"I 've never applied for a pay day loan, nor have i ever recieved one. this is being reported on my credit reports just received notice today and i want it removed.this is fraud and i should n't have to deal with this."
1,0.9435557126998901,2,"I had a online payday loan with XXXX a few years ago after making several payments, I fell behind on making payments. I started to get harassing phone calls at home, work and also friends and family started getting calls regarding this loan after a while they stopped. On XXXX 2016 I noticed a collection on my credit reports from Midwest Recovery Systems for {$2200.00}, they never sent me any paperwork validating the terms of this loan or the amount owed. I only borrowed {$800.00} and I paid most of that back."
1,0.5392684936523438,3,"The lender did not credit my account principal with any portion of the payments that were made. I found this to be very strange. I continued to make payments and my principal balance went unchanged each time. The principle balance was never credited, not XXXX cent. I began to do research and learned that XXXX offers payday loans that are n't enforceable in the state of Connecticut. This type of loan is illegal in the state of CT and Alliant Capital Management is attempting to collect on a prohibited high interest installment loan."
1,0.9020969271659851,4,"First of all, i havent received any money from this lender since the XXXX time I Borrowed {$300.00} around XXXX. Paid off loan to lender in two ocassions. The first time I set up a payment plan with them since the amount I owed them came up to be more than the amount I borrowed. I closed my bank account because I did n't want them having my account information. After a couple weeks I was still getting phone calls calling me again saying I owed them more money ; I ignored them. The Most recent pay was about 2 years ago. They harassed me by calling my cell phone and my house saying I owed $ XXXX, when I finally talked to them on XXXX XXXX, XXXX to try to see if they can lower the amount they lowered it to {$510.00} and paid it. They said it was taken care of and there would be no more calls. One week later the calls started again. They said I owed them another $ XXXX. I told them I just paid them last week that I was n't going to give them anymore money and hung up. Since then they 're still calling me from several different numbers. I checked my credit score a couple days ago and on there it shows a collection balance of {$870.00} from a lender I do not recognize and it says I took out the loan in XXXX XXXX, XXXX. THIS IS FALSE. I did not take any loans and I never received any money from them or anyone. I believe these people are renewing this payday loan making it look like I 'm getting this money. The bank account I used at the time and which they have on file is closed."
1,0.5088686347007751,5,Just recently started receiving threatening letters from Money Now. I have called the store on XXXX XXXX several times and left voicemails for the manager and also asked that they provide date/proof of debt ( mail to me ). No call backs and no proof. Money Now recently sent me an even more threatening letter. I am attaching all for your review. I believe they are over any KY statute of limitation timeframe to collect this alleged debt and/or are outside their mandates legally.
1,0.978380560874939,6,"I did n't receive a loan from these people who have now escalated this to a litigation firm ARA. This company has "" process '' servers calling me up to XXXX times a day stating I better contact this number to ARA otherwise they will press criminal charges against me for fraudulent checks!"
1,0.7553463578224182,7,"I took out a loan for {$490.00} for furniture. The advertising at the store said "" 90 days same as cash financing. '' Wrong!! They said it would be {$550.00} over 90 days and they would charge me an extra {$15.00} to make that XXXX even payments. When I asked how much it would be to pay in full that day ( 5 days later ) I was told it would be {$540.00}. Then I was told it would be {$530.00}. Then after spending 45 minutes on the phone when them and exchanging many e-mails asking where these fees were coming from they had a "" supervisor look into it '' and I 'm now paying the original amount plus a {$25.00} service fee. They have been deceptive from the start and just try to get as much money as possible out of people. Now that I 'm trying to pay it online ( for an extra {$10.00} charge ) there are more issue and if I call to pay it there 's another {$15.00} fee."
1,0.7077186107635498,8,"I applayed for Loan on internet the amount I applied was {$770.00} with My LoanSite.com phone # XXXX Lender XXXX XXXX XXXX SD XXXX At the time agreement and disclosure was not visible. I was not informed about APR that will be XXXX % and finance charge will cost me {$3800.00} and total amount I will pay after I have made all payment as scheduled will be $ XXXX feel that I am victim and this Loan company taken advantage of my needs by exposing me to procentige rate that is astronomicaly high.In my opinionthis practice used by the lender is unfair.I never receive any paperwork with details of the loan, no any email explaine the loan, no any phone contact. I believe that I am victim and loan company take advantage of my needs.The loan company widraw from my account every Friday {$230.00}. XX/XX/2017 my balance is {$1000.00} this amount I am paid them.I have no doubt that this Lender violated a FCP law or regulation. The Lender never explaine agreement, never contact me by email, by phone by mail I never review the agreement my family member found on internet information about this lender. I contact XX/XX/2017 by phone and spoke with representative XXXX. I request to speak with supervisor or XXXX she promise that supervisor will call me and I will have shance to resolve the problem with the loan. However untill now no any contact at this time. Amount given to me direcly is XXXX {$770.00} I am paid {$1000.00} ... but I am not agree to pay them {$4600.00} I need help and asistance and I am requestung this loan to be closed imediately, hope so that some XXXX will be loked into my problem and here will be solution and this loan company need to provide on time information about the loan, rate , %, term by mail, by email or by fax."
1,0.7056937217712402,9,"I found Castle Payday Loan with a search engine listed as "" installment payday loans '' and applied. I was contacted the same day by a "" loan officer '' and told for a {$350.00} loan I would make 4 installments of XXXX ea, over a 60 day period. After making the first pymt I went online to check what the payoff balance was and it showed no difference to the original loan amt, and was now showing a XXXX payoff. I decided to wait a week to see if it was just a website error The next time I got online was 4 days before the next pymt was due and it was still showing the same payoff, so i looked at "" schedule of pymts '' tab, which BTW had NOT been an available tab option at the time of the loan. The schedule of pymts showed, 3 more pymts of XXXX and THEN ... another 15 pymts of slightly lower amts for a total of XXXX on a XXXX loan that was told to me to be 4 pymts of XXXX. There is no way I would have ever agreed to pay back XXXX dollars and the idea of paying for 18 mths on a XXXX loan at 788 % interest is criminal!   I wrote this letter to Castle Payday as per their website to rescind my approval for them to withdraw money from my bank acct. They have not responded.    Previous messageNext messageBack to messagesRescinding ConsentRescinding ConsentXXXX XXXXXXXXTo : XXXXXXXXXXXXTo whom it may concern, I attempted several times to reach you today to rescind my consent for ACH withdrawals from my account. After being on hold and told over and over, that it would only be another 35 seconds, I hung up and contacted my employee assistance program who put me in touch with a Predatory Lending Atty who advised me to notify you by email that I withdraw my consent and report your company to XXXX. I was told at the time the loan was taken out that i would have 4 TOTAL payments of XXXX on a {$350.00} loan. When I checked the payoff yesterday, it showed a higher amount NOW due than when I took out the loan, after making one of the three reported payments. Your schedule of payments shows a ridiculous 18 payments for a total of {$1600.00} on what was supposed to be a 60 day loan. I will not be paying this. I have reported you to XXXX and will follow all legal counsel should you attempt to collect on this. I will pay the original contracted amount of {$490.00} minus the {$120.00} already paid.   XXXX XXXX XXXXApplication # XXXXPlease advise if I have any other options.   XXXX"
