actualy,yhat,id,text
0,2.036154167433124e-06,325,This is some demo text: lorem ipsum ...
0,2.195535217104953e-06,902,This is some demo text: lorem ipsum ...
0,5.771768833596264e-06,1019,This is some demo text: lorem ipsum ...
0,9.113615084320867e-06,921,This is some demo text: lorem ipsum ...
0,1.0312036851497715e-05,336,This is some demo text: lorem ipsum ...
0,1.4677704746057673e-05,264,This is some demo text: lorem ipsum ...
0,1.5296009224405464e-05,1499,This is some demo text: lorem ipsum ...
0,1.706818366966335e-05,2268,This is some demo text: lorem ipsum ...
0,1.7153568682522497e-05,2089,This is some demo text: lorem ipsum ...
0,1.8355031947059462e-05,423,This is some demo text: lorem ipsum ...
0,1.9754539873416684e-05,296,This is some demo text: lorem ipsum ...
0,2.0075439588726595e-05,1490,This is some demo text: lorem ipsum ...
0,2.158425132414148e-05,1660,This is some demo text: lorem ipsum ...
0,2.8146531185600843e-05,1070,This is some demo text: lorem ipsum ...
0,3.0700291465444174e-05,540,This is some demo text: lorem ipsum ...
0,3.1320751786429494e-05,1774,This is some demo text: lorem ipsum ...
0,3.179519350378721e-05,638,This is some demo text: lorem ipsum ...
0,3.357476373200277e-05,645,This is some demo text: lorem ipsum ...
0,3.359548062466098e-05,1782,This is some demo text: lorem ipsum ...
0,3.375321360801242e-05,1059,This is some demo text: lorem ipsum ...
0,3.46122325346422e-05,2362,This is some demo text: lorem ipsum ...
0,3.475241224315908e-05,2308,This is some demo text: lorem ipsum ...
0,3.881444615130333e-05,254,This is some demo text: lorem ipsum ...
0,3.936134983112975e-05,1677,This is some demo text: lorem ipsum ...
0,3.944832044393163e-05,353,This is some demo text: lorem ipsum ...
0,3.9454694815811676e-05,1970,This is some demo text: lorem ipsum ...
0,4.510081094200838e-05,1020,This is some demo text: lorem ipsum ...
0,4.5924654306881844e-05,1484,This is some demo text: lorem ipsum ...
0,4.8308255949127505e-05,643,This is some demo text: lorem ipsum ...
0,5.223608132395256e-05,1426,This is some demo text: lorem ipsum ...
0,5.364299232696605e-05,2417,This is some demo text: lorem ipsum ...
0,5.432992972138786e-05,30,This is some demo text: lorem ipsum ...
0,5.8333658367120524e-05,811,This is some demo text: lorem ipsum ...
0,5.886158995474734e-05,141,This is some demo text: lorem ipsum ...
0,5.915577210523918e-05,1065,This is some demo text: lorem ipsum ...
0,6.325467332390103e-05,456,This is some demo text: lorem ipsum ...
0,7.073607500648385e-05,2263,This is some demo text: lorem ipsum ...
0,7.986857256564202e-05,570,This is some demo text: lorem ipsum ...
0,8.163539646457588e-05,1058,This is some demo text: lorem ipsum ...
0,8.206952844091925e-05,1391,This is some demo text: lorem ipsum ...
0,8.362192832195668e-05,403,This is some demo text: lorem ipsum ...
0,8.467123732191948e-05,581,This is some demo text: lorem ipsum ...
0,8.811992562649147e-05,1258,This is some demo text: lorem ipsum ...
0,9.339381635739259e-05,478,This is some demo text: lorem ipsum ...
0,0.00010271992397092546,261,This is some demo text: lorem ipsum ...
0,0.00011060524632666767,400,This is some demo text: lorem ipsum ...
0,0.00011115982612947273,993,This is some demo text: lorem ipsum ...
0,0.00011394835645554432,551,This is some demo text: lorem ipsum ...
0,0.00012441298615699958,971,This is some demo text: lorem ipsum ...
0,0.0001276167988037829,2198,This is some demo text: lorem ipsum ...
0,0.00013433879450940368,834,This is some demo text: lorem ipsum ...
0,0.00013561519064343445,1292,This is some demo text: lorem ipsum ...
0,0.0001379962826738185,1269,This is some demo text: lorem ipsum ...
0,0.00014176905757729032,1062,This is some demo text: lorem ipsum ...
0,0.00014221404782518044,2329,This is some demo text: lorem ipsum ...
0,0.0001428311316931855,1080,This is some demo text: lorem ipsum ...
0,0.00014500313220322652,81,This is some demo text: lorem ipsum ...
0,0.0001471533878765979,928,This is some demo text: lorem ipsum ...
0,0.00014731677257294676,1832,This is some demo text: lorem ipsum ...
0,0.00014846529532279494,315,This is some demo text: lorem ipsum ...
0,0.00014990933199610657,1317,This is some demo text: lorem ipsum ...
0,0.00014993280079324503,2400,This is some demo text: lorem ipsum ...
0,0.000152066478492924,1067,This is some demo text: lorem ipsum ...
0,0.00015326227178438169,319,This is some demo text: lorem ipsum ...
0,0.0001566624757699561,2421,This is some demo text: lorem ipsum ...
0,0.0001592900990025777,1305,This is some demo text: lorem ipsum ...
0,0.00015932727942053818,426,This is some demo text: lorem ipsum ...
0,0.00016638148949948143,2069,This is some demo text: lorem ipsum ...
0,0.0001753513008008286,1347,This is some demo text: lorem ipsum ...
0,0.00018215054175223976,384,This is some demo text: lorem ipsum ...
0,0.00018845910325707764,603,This is some demo text: lorem ipsum ...
